﻿Section,Type,Title,Message,English,Arabic Translation
C3,Email Footer,,,Best regards,,
C3,Email Footer,,,GDRFA Sports & Recreation Department,
C3,Email Footer,,,GDRFA Events Team,
C3,Email Footer,,,The GDRFA Team,
C3,Email Footer,,,General Directorate of Residency and Foreigners Affairs,
C3,Email Footer,,,Sports & Recreation Department - Event Management System,
C3,Email Footer,,,Sports & Recreation Department,
C3,Email Footer,,,© 2025 GDRFA. All rights reserved.,
C4,Email Body,,,Hello {Manager},,
C4,Email Body,,,We would like to inform you that your team member {Member} has successfully registered for an event. Please find the complete details below:,
C4,Email Body,,,User Details,
C4,Email Body,,,Full Name:,
C4,Email Body,,,Email:,
C4,Email Body,,,Phone:,
C4,Email Body,,,User Link:,
C4,Email Body,,,View User Details,
C4,Email Body,,,This is an automated notification to keep you informed about your team member's event participation. Please review the details and contact us if you require any additional information.,
C5,Email Body,,,Hello {Name},,
C5,Email Body,,,Your facility request status has been updated. Here are the details:,
C5,Email Body,,,Facility:,
C5,Email Body,,,If you have any questions regarding this request, please contact our support team.,
C6,Email Body,,,Hello, {username}!,
C6,Email Body,,,You recently requested to reset your password. Click the button below to reset it.,
C6,Email Body,,,If you did not request a password reset, you can ignore this email.,
C6,Email Body,,,Thanks for choosing GDRFA Admin.,
C6,Email Body,,,Unsubscribe,
C6,Email Body,,,these alerts.,
C7,Email Body,,,Hello {Admin}!,
C7,Email Body,,,A new participant has registered for your event {Event}. Please review the details below and take appropriate action if needed.,
C7,Email Body,,,👤 Participant Information,
C7,Email Body,,,Name:,
C7,Email Body,,,Mobile:,
C7,Email Body,,,Registration Type:,
C7,Email Body,,,🏃 Individual Participant,
C7,Email Body,,,👑 Team Captain,
C7,Email Body,,,Registration Date:,
C7,Email Body,,,📋 Administrative Actions,
C7,Email Body,,,Review participant's profile and eligibility,
C7,Email Body,,,Verify participant meets event requirements,
C7,Email Body,,,Contact participant if additional information is needed,
C7,Email Body,,,Update event participant list and manage capacity,
C7,Email Body,,,Take action on pending approvals if required,
C7,Email Button,,,View Participant Profile,
C7,Email Button,,,Manage Event,
C7,Email Body,,,This is an automated notification from the GDRFA Sports Management System.,
C7,Email Body,,,You are receiving this email because you are listed as an administrator for this event.,
C8,Email Body,,,Hello {Employee}!,
C8,Email Body,,,We are excited to inform you that you have been invited to participate in a new activity. This is a great opportunity to engage in sports and recreational activities.,
C8,Email Body,,,Your Team Information,
C8,Email Body,,,How to Participate,
C8,Email Body,,,Team Name:,
C8,Email Body,,,Your Role:,
C8,Email Body,,,Please log in to the GDRFA Sports Portal to view the full event details, check the schedule, and confirm your participation.,
C8,Email Body,,,If you have any questions, please contact your event coordinator.,
C8,Email Body,,,For any questions or concerns, please contact your event coordinator or system administrator.,
D,Notification,New Sports Event: {Event},{Event} is now live.,
D,Notification,,,Start: {startDate},
D,Notification,,,End: {endDate},
D,Notification,,,Location: {Location},
D,Notification,,,Open full event details: {url},
D,Notification,Event Participant Status,Your approved registration has been cancelled by the administrator.,
D,Notification,Event Participant Status,Your registration has been re-approved by the administrator.,
D,Notification,Registration Fully Approved,Your registration for "{Event}" has been fully approved.,
D,Notification,Registration Advanced,Your registration for "{Event}" has been approved and sent to the next level.,
D,Notification,New Approval Request,Employee {Name} has requested approval for "{Event}".,
D,Notification,Fully Approved Registration,Registration for "{Event}" by {Name} is fully approved.,
D,Notification,Participant Fully Approved,Registration for "{Event}" by {Name} is fully approved.,
D,Notification,Registration Rejected,Your registration for "{Event}" was rejected.,
D,Notification,Registration Rejected (with reason),Your registration for "{Event}" was rejected. Reason: {Reason},
D,Notification,New Registration Approval Request,{Name} has registered for "{Event}" and requires your approval.,
D,Notification,New Facility Booking Request,{Name} has requested to book "{Facility}" on {startDate} at {startTime}.,
D,Notification,New Contact Message,{Name} ({email}) sent a message: {message},
D,Notification,New Activity Invitation,You have been invited to the activity "{Activity}" for event "{Event}".,
D,Notification,New Escalated Approval Request,The previous approver did not respond within 3 days. "{Employee}" request for "{Event}" has been escalated to you.,
D,Notification,Request Escalated,Your registration request for "{Event}" was not actioned within 3 days at {Level} level and has been escalated to the next level.,
E,Push,Event Assignment: {Event},You have been assigned to participate in {Event},
E,Push,Event Update: {Event},Event {Event} has been updated,
E,Push,Event Reminder: {Event},Don't forget about {Event} happening soon,
E,Push,Event Completed: {Event},Event {Event} has been completed successfully,
E,Push,Event Notification: {Event},You have a notification about {Event},
E,Push,Team Assignment: {Team},You have been assigned to team {Team},
E,Push,Team Captain: {Team},You have been made captain of team {Team},
E,Push,Team Notification: {Team},You have a notification about team {Team},
F,Push (Test only),Test Notification,This is a test notification from the platform,
F,Push (Test only),Test Notification,This is a test notification from GDRFA backend,
F,Push (Test only),Bulk Test Notification,This is a bulk test notification from GDRFA backend,
F,Push (Test only),Role-based Test Notification,This is a role-based test notification from GDRFA backend,
F,Push (Test only),Broadcast Test Notification,This is a broadcast test notification from GDRFA backend,
F,Push (Test only),Test Notification for You!,This is a test notification sent to your account,
G,Status Value,,,Approved,
G,Status Value,,,Cancelled,
G,Status Value,,,Rejected,
G,Status Value,,,Individual,
G,Status Value,,,Team Captain,
G,Status Value,,,Approved & Advanced,
G,Status Value,,,TBD,
G,Status Value,,,Not provided,
